userId;movieId;rating;timestamp
2;500;5.0;836423677
3;500;3.0;1084484692
7;500;4.0;840385955
10;500;1.5;1175614153
15;500;4.0;1289857820
20;500;2.0;1553188048
28;500;3.0;961438822
29;500;3.0;845056007
32;500;3.0;837622286
34;500;4.0;1194741805
43;500;3.0;834322950
48;500;4.0;840925656
49;500;4.0;840478452
28;497;5.0;961438248
43;497;4.0;834323626
28;494;4.0;961681985
39;494;2.0;859534438
42;494;3.0;855645897
50;494;3.5;1262076447
28;493;4.0;961515781
43;493;4.0;834324326
28;491;4.0;961518066
48;491;4.0;840926317
28;490;4.0;961682058
43;490;3.0;834324170
43;489;3.0;834324119
28;487;2.0;961439225
10;485;1.0;1169264802
28;485;3.0;961439079
29;485;3.0;845056235
43;485;3.0;834323693
48;485;4.0;840926040
28;482;4.0;961682077
33;482;4.0;1226362708
28;481;3.0;961518108
29;481;3.0;845056644
43;481;3.0;834324140
3;480;4.0;1084484525
5;480;4.0;840768763
10;480;3.0;1169304524
17;480;4.0;1027304819
20;480;5.0;1553187335
25;480;3.5;1641309273
28;480;4.0;961514893
29;480;4.0;845055929
30;480;3.5;1167826780
32;480;4.0;837622212
33;480;5.0;1251946836
34;480;4.0;1219476819
35;480;3.5;1437330142
36;480;3.5;1420839773
37;480;5.0;992726394
43;480;3.0;834322825
48;480;5.0;840925571
49;480;5.0;840478362
28;479;2.0;961516277
28;477;3.5;1157472172
43;477;3.0;834322951
13;475;4.0;995950035
28;475;5.0;961517481
29;475;4.0;845056387
40;475;5.0;940027837
28;474;4.0;961515708
29;474;3.0;845056125
43;474;4.0;834323088
9;471;3.5;1138474137
22;471;4.0;1583618543
28;471;5.0;961514069
29;471;3.0;845056401
43;471;4.0;834323072
48;471;4.0;840926224
7;468;4.0;840386178
34;468;3.0;1194740982
43;468;3.0;834322802
2;466;3.0;836424079
3;466;1.0;1084484362
10;466;3.5;1169261287
28;466;2.0;961512629
35;466;5.0;1437837058
43;466;3.0;834323722
48;466;3.0;840926087
28;464;2.0;961516204
29;464;3.0;845056574
43;464;3.0;834324119
43;460;2.0;834324315
28;459;2.0;961516318
28;458;3.0;961513576
2;457;5.0;836423308
3;457;4.0;1084484528
5;457;4.0;840764099
7;457;3.0;840385502
10;457;3.0;1207671511
13;457;4.0;995949753
20;457;4.0;1553180850
25;457;3.5;1641334437
28;457;5.0;961515643
29;457;4.0;845055905
32;457;5.0;837622139
33;457;4.0;1226364257
34;457;4.0;1219476842
37;457;4.0;992729646
42;457;4.0;855648928
43;457;5.0;834322465
48;457;5.0;840925494
49;457;4.0;840478288
10;455;2.5;1169336382
2;454;4.0;836423445
3;454;4.0;1084484768
5;454;4.0;840768763
10;454;3.0;1169264410
28;454;3.0;961437526
29;454;3.0;845055993
32;454;4.0;837622212
34;454;4.0;1249807893
43;454;3.0;834322609
48;454;3.0;840925571
49;454;5.0;840478362
28;453;3.0;975941113
28;450;3.0;961439009
43;450;2.0;834324264
28;448;3.0;1036505560
29;448;2.0;845056801
28;444;2.0;961439491
3;442;3.0;1084485152
10;442;1.5;1208464766
25;442;3.0;1641309403
28;442;3.0;961515229
29;442;1.0;845056141
43;442;3.0;834322772
48;442;4.0;840925828
28;441;4.0;961438413
7;440;4.0;840385989
28;440;3.0;961438248
29;440;3.0;845056078
32;440;3.0;837622286
43;440;3.0;834322693
48;440;4.0;840925751
28;438;2.0;961439584
14;437;5.0;1336852076
28;436;2.0;961518556
47;436;3.0;938807947
7;435;2.0;840385955
32;435;4.0;837622260
48;435;4.0;840925711
50;435;2.0;1262076457
3;434;3.5;1084484764
5;434;4.0;840764183
7;434;3.0;840385526
10;434;2.0;1194206555
28;434;3.0;961516047
29;434;2.0;845055929
32;434;3.0;837622139
43;434;3.0;834322412
49;434;3.0;840478314
43;433;2.0;834324099
7;432;3.0;840385989
28;432;2.0;961439514
48;432;4.0;840925751
28;431;5.0;961517936
43;431;3.0;834322887
48;431;4.0;840926257
28;429;2.0;961439560
28;428;4.0;961517308
28;427;3.0;961514611
48;427;3.0;840926298
48;426;5.0;840926558
28;423;2.0;961682276
28;421;3.0;961595057
10;420;2.0;1224839657
25;420;3.0;1641308549
28;420;2.0;1025108900
43;420;1.0;834322529
48;420;3.0;840925656
49;420;3.0;840478452
43;419;1.0;834323960
48;419;4.0;840926366
28;417;5.0;961438373
29;417;5.0;845056536
28;416;2.0;961513576
28;415;2.0;961439405
48;415;3.0;840926457
28;414;2.0;1073679985
10;413;3.0;1208426732
28;413;2.0;961439030
29;413;3.0;845056432
43;413;1.0;834322913
28;412;4.0;1511541689
29;412;5.0;845056631
5;410;3.0;840768897
7;410;4.0;840385932
32;410;3.0;837622191
43;410;3.0;834322465
48;410;3.0;840925594
28;408;2.0;961518556
28;386;3.0;961518708
28;383;3.0;961513534
29;383;3.0;845056514
28;382;3.0;962372073
29;382;3.0;845056584
2;381;5.0;836423984
2;380;5.0;836423202
3;380;2.5;1084484567
5;380;5.0;840763915
7;380;2.0;840385452
13;380;4.0;995951076
20;380;4.0;1553187327
28;380;4.0;961438476
29;380;4.0;845055863
34;380;4.0;1194741556
37;380;4.0;992728374
43;380;3.0;834322332
48;380;4.0;840925424
49;380;3.0;840478225
25;379;2.5;1641309435
28;379;2.0;961515325
2;377;4.0;836423602
3;377;3.5;1084484621
10;377;3.0;1194206490
13;377;3.0;995949931
15;377;3.5;1289857838
18;377;2.5;1251923247
28;377;4.0;961513948
29;377;3.0;845055993
33;377;4.0;1226364280
36;377;3.0;1420840082
37;377;3.0;994543107
43;377;3.0;834322864
49;377;4.0;840478416
39;376;3.0;859534466
43;376;3.0;834323105
48;376;4.0;840926224
28;374;1.0;961681444
28;373;4.0;1023113912
47;373;4.0;938807495
28;372;4.0;961438579
29;372;4.0;845056514
43;372;3.0;834323979
43;371;3.0;834323615
48;371;3.0;840926340
10;370;2.0;1169299411
35;370;4.5;1437836880
43;370;2.0;834323693
48;370;4.0;840926069
29;369;4.0;845057463
28;368;4.0;961438688
43;368;3.0;834323679
3;367;2.5;1084484760
7;367;3.0;840385932
10;367;2.5;1169401219
15;367;1.5;1289857804
20;367;5.0;1553188046
28;367;4.0;961438352
34;367;3.0;1219477266
35;367;4.0;1437330724
37;367;5.0;992727718
43;367;3.0;834322652
48;367;3.0;840925630
49;367;3.0;840478416
2;364;5.0;836423445
3;364;4.0;1084484658
5;364;5.0;840768897
10;364;4.0;1169401199
18;364;5.0;1251998751
19;364;5.0;974704882
20;364;4.0;1553187328
24;364;3.0;945354009
28;364;4.0;961519028
29;364;4.0;845055993
32;364;4.0;837622234
33;364;5.0;1226364301
43;364;3.0;834322609
49;364;5.0;840478388
2;362;5.0;836424125
